bacterial_species,metagenomic,culture,risk_group,human_pathogenicity,urinary_pathogene,aero_intolerant,phyla,genus
Corynebacterium riegelii,1,1,2,1,1,0,Actinobacteria,Corynebacterium
Corynebacterium simulans,1,1,2,Unclassified,Unclassified,0,Actinobacteria,Corynebacterium
Corynebacterium singulare,1,0,1,Unclassified,Unclassified,0,Actinobacteria,Corynebacterium
Corynebacterium striatum,1,1,2,1,Unclassified,0,Actinobacteria,Corynebacterium
Corynebacterium tuberculostearicum,1,1,2,Unclassified,Unclassified,0,Actinobacteria,Corynebacterium
Corynebacterium tuscaniense,0,1,1,Unclassified,Unclassified,0,Actinobacteria,Corynebacterium
Corynebacterium urealyticum,1,1,2,1,1,0,Actinobacteria,Corynebacterium
Corynebacterium urinapleomorphum,0,1,Unclassified,Unclassified,Unclassified,0,Actinobacteria,Corynebacterium
Corynebacterium xerosis,0,1,2,1,Unclassified,0,Actinobacteria,Corynebacterium
Cosenzaea myxofaciens,0,1,Unclassified,1,1,0,Proteobacteria,Cosenzaea
Cronobacter sakazakii,1,1,2,1,1,0,Proteobacteria,Cronobacter
Dechloromonas agitata,1,0,1,Unclassified,Unclassified,0,Proteobacteria,Dechloromonas
Delftia acidovorans,1,1,1,1,1,0,Proteobacteria,Delftia
Dermabacter hominis,0,1,1,1,Unclassified,0,Actinobacteria,Dermabacter
Desulfovibrio fairfieldensis,1,1,1,1,1,0,Proteobacteria,Desulfovibrio
Dialister invisus,1,1,2,1,1,1,Firmicutes,Dialister
Dialister micraerophilus,0,1,Unclassified,1,Unclassified,1,Firmicutes,Dialister
Dialister pneumosintes,1,0,2,1,Unclassified,1,Firmicutes,Dialister
Diaslister propionicifaciens,1,0,Unclassified,1,Unclassified,1,Firmicutes,Dialister
Dolosigranulum pigrum,1,0,2,1,Unclassified,0,Firmicutes,Dolosigranulum
Dysgonomonas mossii,1,0,1,1,Unclassified,0,Bacteroidetes,Dysgonomonas
Edwardsiella tarda,0,1,2,1,1,0,Proteobacteria,Edwardsiella
Eggerthella lenta,0,1,2,1,Unclassified,1,Actinobacteria,Eggerthella
Eikenella corrodens,0,1,2,1,1,0,Proteobacteria,Eikenella
Elizabethkingia meningoseptica,0,1,2,1,1,0,Bacteroidetes,Elizabethkingia
Elizabethkingia miricola,0,1,1,Unclassified,Unclassified,0,Bacteroidetes,Elizabethkingia
Enhydrobacter aerosaccus,1,0,1,Unclassified,Unclassified,0,Proteobacteria,Enhydrobacter
Enterobacter amnigenus,0,1,Unclassified,1,1,0,Proteobacteria,Enterobacter
Enterobacter aerogenes,0,1,2,1,1,0,Proteobacteria,Enterobacter
Enterobacter asburiae,1,1,2,1,1,0,Proteobacteria,Enterobacter
Enterobacter cloacae,1,1,2,1,1,0,Proteobacteria,Enterobacter
Enterobacter gergoviae,0,1,2,1,Unclassified,0,Proteobacteria,Enterobacter
Enterobacter hormaechei,0,1,2,1,Unclassified,0,Proteobacteria,Enterobacter
Enterobacter kobei,0,1,2,1,1,0,Proteobacteria,Enterobacter
Enterobacter ludwigii,0,1,2,1,Unclassified,0,Proteobacteria,Enterobacter
Enterobacter sakazakii,0,1,Unclassified,Unclassified,1,0,Proteobacteria,Enterobacter
Enterobacter taylorae,0,1,2,1,1,0,Proteobacteria,Enterobacter
Enterococcus avium,0,1,2,1,1,0,Firmicutes,Enterococcus
Enterococcus casseliflavus,0,1,2,1,1,0,Firmicutes,Enterococcus
Enterococcus cecorum,0,1,2,Unclassified,Unclassified,0,Firmicutes,Enterococcus
Enterococcus durans,0,1,2,1,1,0,Firmicutes,Enterococcus
Enterococcus faecalis,1,1,2,1,1,0,Firmicutes,Enterococcus
Enterococcus faecium,1,1,2,1,1,0,Firmicutes,Enterococcus
Enterococcus gallinarum,0,1,2,1,1,0,Firmicutes,Enterococcus
Enterococcus gilvus,1,0,1,Unclassified,Unclassified,0,Firmicutes,Enterococcus
Enterococcus hirae,0,1,2,1,1,0,Firmicutes,Enterococcus
Enterococcus malodoratus,1,0,1,Unclassified,Unclassified,0,Firmicutes,Enterococcus
Enterococcus pseudoavium,0,1,2,Unclassified,Unclassified,0,Firmicutes,Enterococcus
Enterococcus raffinosus,0,1,2,Unclassified,Unclassified,0,Firmicutes,Enterococcus
Epilithonimonas tenax,1,0,1,Unclassified,Unclassified,0,Bacteroidetes,Epilithonimonas
Erwinia persicina,0,1,1,1,1,0,Proteobacteria,Erwinia
Erysipelothrix inopinata,1,0,1,Unclassified,Unclassified,0,Firmicutes,Erysipelothrix
Escherichia coli,1,1,2,1,1,0,Proteobacteria,Escherichia
Escherichia faecalis,0,1,Unclassified,1,1,0,Proteobacteria,Escherichia
Escherichia fergusonii,0,1,2,1,1,0,Proteobacteria,Escherichia
Escherichia hermannii,0,1,2,1,1,0,Proteobacteria,Escherichia
Escherichia vulneris,0,1,2,1,1,0,Proteobacteria,Escherichia
Facklamia hominis,1,1,2,1,Unclassified,0,Firmicutes,Facklamia
Facklamia ignava,1,0,Unclassified,Unclassified,1,0,Firmicutes,Facklamia
Facklamia languida,1,0,2,Unclassified,Unclassified,0,Firmicutes,Facklamia
Faecalibacterium prausnitzii,1,0,2,Unclassified,Unclassified,1,Firmicutes,Faecalibacterium
Fastidiosipila sanguinis,1,0,Unclassified,1,Unclassified,1,Firmicutes,Fastidiosipila
Fenollaria massiliensis,1,0,Unclassified,Unclassified,Unclassified,1,Firmicutes,Fenollaria
Finegoldia magna,1,1,2,1,Unclassified,1,Firmicutes,Finegoldia
Flavobacterium antarcticum,1,0,1,Unclassified,Unclassified,0,Bacteroidetes,Flavobacterium
Flindersiella endophytica,1,0,Unclassified,Unclassified,Unclassified,0,Actinobacteria,Flindersiella
Francisella tularensis,0,1,3,1,1,0,Proteobacteria,Francisella
Fusobacterium nucleatum,1,1,2,1,1,1,Fusobacteria,Fusobacterium
Gallicola barnesae,1,0,1,Unclassified,Unclassified,1,Firmicutes,Gallicola
Gardnerella vaginalis,1,1,2,1,1,0,Actinobacteria,Gardnerella
Gemella asaccharolytica,1,0,Unclassified,1,1,0,Firmicutes,Gemella
Gemella haemolysans,0,1,2,1,Unclassified,0,Firmicutes,Gemella
Gemella morbillorum,0,1,2,1,1,0,Firmicutes,Gemella
Gemella sanguinis,0,1,2,1,Unclassified,0,Firmicutes,Gemella
Globicatella sanguinis,0,1,2,1,1,0,Firmicutes,Globicatella
Gordonibacter pamelae,1,0,Unclassified,Unclassified,Unclassified,1,Actinobacteria,Gordonibacter
Gordonia terrae,0,1,2,1,1,0,Actinobacteria,Gordonia
Granulicatella adiacens,0,1,2,Unclassified,Unclassified,0,Firmicutes,Granulicatella
Granulicatella elegans,1,0,2,Unclassified,Unclassified,0,Firmicutes,Granulicatella
Haemophilus influenzae,1,1,2,1,1,0,Proteobacteria,Haemophilus
Haemophilus parainfluenzae,1,1,2,1,1,0,Proteobacteria,Haemophilus
Hafnia alvei,0,1,2,1,1,0,Proteobacteria,Hafnia
Helcococcus seattlensis,1,1,Unclassified,1,1,0,Firmicutes,Helcococcus
Helicobacter cinaedi,0,1,2,1,1,0,Proteobacteria,Helicobacter
Helicobacter pylori,1,0,2,1,Unclassified,0,Proteobacteria,Helicobacter
Howardella ureilytica,1,0,1,Unclassified,Unclassified,1,Firmicutes,Howardella
Ilyobacter polytropus,1,0,1,Unclassified,Unclassified,1,Fusobacteria,Ilyobacter
Jeotgalicoccus psychrophilus,1,0,1,Unclassified,Unclassified,0,Firmicutes,Jeotgalicoccus
Kandleria vitulina,1,0,Unclassified,Unclassified,Unclassified,0,Firmicutes,Kandleria
Kerstersia gyiorum,0,1,2,1,1,1,Proteobacteria,Kerstersia
Kingella kingae,0,1,2,1,1,0,Proteobacteria,Kingella
Kingella potus,1,0,1,1,Unclassified,0,Proteobacteria,Kingella
Klebsiella ascorbata,0,1,2,Unclassified,Unclassified,0,Proteobacteria,Klebsiella
Klebsiella kluyvera,0,1,2,Unclassified,Unclassified,0,Proteobacteria,Klebsiella
Klebsiella oxytoca,0,1,2,1,1,0,Proteobacteria,Klebsiella
Klebsiella ozaenae,0,1,2,1,1,0,Proteobacteria,Klebsiella
Klebsiella pneumoniae,1,1,2,1,1,0,Proteobacteria,Klebsiella
Kluyvera ascorbata,0,1,2,1,1,0,Proteobacteria,Kluyvera
Kluyvera cryocrescens,0,1,2,1,Unclassified,0,Proteobacteria,Kluyvera
Kluyvera intermedia,0,1,2,1,1,0,Proteobacteria,Kluyvera
Kocuria kristinae,0,1,Unclassified,1,1,0,Actinobacteria,Kocuria
Kocuria rhizophila,0,1,Unclassified,1,Unclassified,0,Actinobacteria,Kocuria
Lachnoclostridium urinimassiliense,0,1,Unclassified,Unclassified,Unclassified,1,Firmicutes,Lachnoclostridium
Lactobacillus acidophilus,1,0,1,Unclassified,Unclassified,0,Firmicutes,Lactobacillus
Lactobacillus casei,0,1,1,Unclassified,Unclassified,0,Firmicutes,Lactobacillus
Lactobacillus coleohominis,1,1,Unclassified,Unclassified,Unclassified,0,Firmicutes,Lactobacillus
Lactobacillus crispatus,1,1,1,Unclassified,Unclassified,0,Firmicutes,Lactobacillus
Lactobacillus delbrueckii,0,1,Unclassified,Unclassified,1,0,Firmicutes,Lactobacillus
Lactobacillus fermentum,0,1,1,Unclassified,Unclassified,0,Firmicutes,Lactobacillus
Lactobacillus fornicalis,1,0,1,Unclassified,Unclassified,0,Firmicutes,Lactobacillus
Lactobacillus gasseri,1,1,1,1,1,0,Firmicutes,Lactobacillus
Lactobacillus iners,1,1,Unclassified,Unclassified,1,0,Firmicutes,Lactobacillus
Lactobacillus jensenii,1,1,1,1,1,0,Firmicutes,Lactobacillus
